url,filename,portal,checked,correct labels,Missing labels,wrong GeoNames labels,wrong OSM labels,N,TP,FP,FN,precision,recall,F1
https://ckan.dataplatform.nl/dataset/b7d33f74-f211-4931-923d-fe462d4f1d6a/resource/43ceaea9-037a-450a-af4d-5210e2bfd810/download/laadpalen-22-02-2016.csv,data_overheid_nl/0.csv,data_overheid_nl,x,c,,,,12,2,0,10,,,
https://ckan.dataplatform.nl/dataset/b83289f6-db9e-4432-9ae9-ac1c2d7cfbe0/resource/7d9d2d0f-b2fe-4482-9715-e1136635c7c3/download/doetinchem.csv,data_overheid_nl/1.csv,data_overheid_nl,x,c,,,,1,1,0,0,,,
https://ckan.dataplatform.nl/dataset/47897be3-f858-48b3-9036-6ade92bc1346/resource/4d768adc-f16b-4cd1-8ba7-dd1ab3d86576/download/kans-op-werk-voor-laagopgeleiden-2013.csv,data_overheid_nl/2.csv,data_overheid_nl,x,c,,,,4,4,0,0,,,
https://ckan.dataplatform.nl/dataset/cf80c6dc-1366-454d-ac8a-cec9c74bc29a/resource/965b6ba0-f1a9-48fd-bee9-f1ddd067ff02/download/vught-2015-12-17-wgs84.csv,data_overheid_nl/3.csv,data_overheid_nl,x,c,,,,11,1,0,10,,,
https://ckan.dataplatform.nl/dataset/9b1e0c37-5763-401f-bb27-d3608fc0b04b/resource/48708525-713f-4925-b475-dabe58157885/download/stembureaus.csv,data_overheid_nl/4.csv,data_overheid_nl,x,c,,,,12,2,0,10,,,
https://ckan.dataplatform.nl/dataset/ea271bfe-a341-4de1-9120-9dbe362b319c/resource/801515f5-f105-417f-8602-0229eb92a2ce/download/veendam.csv,data_overheid_nl/5.csv,data_overheid_nl,x,c,,,,1,1,0,0,,,
http://geoportaal-ddh.opendata.arcgis.com/datasets/c37f660725f54c24b8dc671ab4bb3ca6_0.csv,data_overheid_nl/6.csv,data_overheid_nl,x,c,,,,1,1,0,0,,,
https://ckan.dataplatform.nl/dataset/e6366529-6f23-4540-afe2-4fb5fedf48d5/resource/38e064e0-92d7-4840-8de9-445789a9567f/download/culemborg.csv,data_overheid_nl/7.csv,data_overheid_nl,x,c,,,,1,1,0,0,,,
http://data-delft.opendata.arcgis.com/datasets/8ec052576bd94271a354bddf6eccd287_0.csv,data_overheid_nl/8.csv,data_overheid_nl,x,c,,,,2,2,0,0,,,
https://ckan.dataplatform.nl/dataset/2b530dd2-aa86-4282-9361-75bdc663292b/resource/e5c496c4-d4f4-456d-9a53-b94cf08260e5/download/stembureaus-dordrecht-gemeenteraad-2006.csv,data_overheid_nl/9.csv,data_overheid_nl,x,c,,,,11,1,0,10,1,0.285714285714286,0.444444444444444
http://data-osi.opendata.arcgis.com/datasets/e234b82f77aa4344bd0f8719fb4393d0_3.csv,data_gov_ie/0.csv,data_gov_ie,x,c,,g,,12,9,1,2,,,
http://data-osi.opendata.arcgis.com/datasets/9c73e243b8bb4b77b097c56fd060859a_2.csv,data_gov_ie/1.csv,data_gov_ie,x,c,,,,4,4,0,0,,,
http://data-osi.opendata.arcgis.com/datasets/001314e29d184e9190f6a950dafd2cb5_1.csv,data_gov_ie/2.csv,data_gov_ie,x,c,m,,,35,30,0,5,,,
http://data-roscoco.opendata.arcgis.com/datasets/a61f793e5a134151a1be24fb42b97a7f_0.csv,data_gov_ie/3.csv,data_gov_ie,x,c,,,,8,8,0,0,,,
http://www.heritagecouncil.ie/content/files/Sheela-na-Gig-CSV.csv,data_gov_ie/4.csv,data_gov_ie,x,c,,,,8,8,0,0,,,
